List of Countries in Both,Geoscheme,cregion,WHO Region,Iso,Date of first vaccination reported in country,Dates in date form,sixmoup,Date of 6 Month Data (dd-mm-yy),number of days from expected 6 month date,ninemoup,Date of 9 Month Data (dd-mm-yy),number of days from expected 9 month date,twelvemoup,Date of 12 Month Data (dd-mm-yy),Date12,number of days from expected 12 month date,fiftmoup,Date of 15 Month Data (dd-mm-yy),number of days from expected 15 month date,libdem,vscore,vscoren,Donated Vaccines of Chinese Origin,Population,All Donated Vaccines,Donated Chinese Vaccines Per Capita,dvaxpc,percChinese,ruralperc,Correlates of War Country Code,gdp,loggdp,gdppc,loggdppc,totalaid,logaid,vaxprio12,vaxavail12,vaxfin12,vaxman12,vaxprio9,vaxavail9,vaxfin9,vaxman9,vaxprio6,vaxavail6,vaxfin6,vaxman6
Afghanistan,Southern Asia,Asia,EMRO,AFG,44255,28-02-21,1.88,44439,4,8.58,44514,-11,11.67,44612,20-02-22,-3,13.15,44704,-1,0.188,-14.0107,0.57377021,"4,100,000",37769499,"19,610,450",0.1086,0.5192,0.209072,74.246,700,18799444415,10.27,497.74,2.697003791,4209,3.624178926,2,2,5,0,2,2,5,0,2,2,5,0
Albania,Southern Europe,Europe,EUR,ALB,44209,13-01-21,20.77,44389,0,33.86,44478,-1,41.35,44569,08-01-22,0,45.18,44658,-1,0.41,11.41791,0.990632464,0,2854191,"899,375",0,0.3151,0,38.771,339,15401826127,10.19,5396.21,3.732089184,310,2.491361694,2,3,5,1,2,2,5,1,1,1,5,NA
Algeria,Northern Africa,Africa,EMRO,DZA,44246,19-02-21,7.62,44428,2,14.36,44513,-3,16.61,44612,20-02-22,6,17.46,44682,-14,0.149,3.132191,0.854801071,"200,000",42705368,"7,145,200",0.0047,0.1673,0.027991,26.811,615,1.7176E+11,11.23,4021.98,3.604440259,210,2.322219295,2,2,5,0,2,2,5,NA,1,1,5,NA
Angola,Middle Africa,Africa,AFRO,AGO,44263,08-03-21,3.28,44440,-3,18.93,44536,3,30.29,44622,02-03-22,-1,35.69,44717,4,0.181,-29.725,0.316158861,"200,000",32353588,"23,615,230",0.0062,0.7299,0.008469,33.823,540,70897962713,10.85,2191.35,3.340711305,111,2.045322979,2,3,5,1,2,3,5,1,2,2,5,0
Argentina,South America,Americas,AMR,ARG,44194,29-12-20,36.38,44374,0,65.68,44464,0,84.63,44554,24-12-21,0,90.1,44644,0,0.607,-2.43924,0.763466182,0,44938712,"6,252,400",0,0.1391,0,8.009,160,4.47755E+11,11.65,9963.67,3.998419517,102,2.008600172,2,3,5,0,2,3,5,NA,2,2,5,NA
Azerbaijan,Western Asia,Asia,EUR,AZE,44233,06-02-21,29.48,44413,0,48.25,44508,5,50.53,44593,01-02-22,0,51.56,44683,0,0.064,8.275048,0.939110161,"150,000",10024283,"150,000",0.015,0.015,1,43.969,373,48174235294,10.68,4805.75,3.681761511,123,2.089905111,2,3,5,1,2,3,5,1,2,2,5,NA
Bangladesh,Southern Asia,Asia,SEARO,BGD,44234,07-02-21,5.98,44415,1,25.18,44504,0,55.75,44587,26-01-22,-7,75.25,44691,7,0.097,10.27505,0.971897063,"7,600,000",165516222,"208,000,000",0.0459,1.2567,0.036521,62.595,771,3.51238E+11,11.55,2122.08,3.326761424,5375,3.730378469,2,3,5,1,2,3,5,0,2,2,5,0
Belarus,Eastern Europe,Europe,AFRO,BLR,44245,18-02-21,15.69,44423,-2,34.19,44514,-1,57.27,44605,13-02-22,0,66.31,44696,1,0.114,9.70362,0.962529363,"19,703,000",9419758,"19,963,000",2.0917,2.1193,0.986976,20.956,370,64410122847,10.81,6837.77,3.834914382,326,2.5132176,2,3,5,0,2,2,5,NA,2,2,5,NA
Benin,Western Africa,Africa,AFRO,BEN,44328,12-05-21,2.28,44508,0,17,44596,-2,23.65,44689,08-05-22,1,23.89,44780,2,0.348,-9.29638,0.651054106,"600,000",12290444,"5,660,790",0.0488,0.4606,0.105992,52.139,434,14390708757,10.16,1170.89,3.068514612,1050,3.021189299,2,3,5,1,2,3,5,1,2,2,5,1
Bhutan,Southern Asia,Asia,SEARO,BTN,44282,27-03-21,74.71,44465,3,75.37,44550,-2,87.87,44640,20-03-22,-2,88.56,44724,-8,0.513,9.417905,0.957845513,"50,000",767459,"2,655,790",0.0652,3.4605,0.018827,58.388,760,2735683409,9.44,3564.6,3.552010653,203,2.307496038,2,3,5,0,2,3,5,0,2,3,5,0
Bolivia,South America,Americas,AMR,BOL,44229,02-02-21,25.56,44409,0,37.3,44499,0,54.76,44589,28-01-22,0,58.6,44679,0,0.257,-9.01067,0.655737874,"3,800,000",11777315,"14,217,410",0.3227,1.2072,0.267278,30.227,145,40895322851,10.61,3472.38,3.54062735,339,2.530199698,2,3,5,0,2,2,5,0,2,2,5,0
Botswana,Southern Africa,Africa,AFRO,BWA,44288,02-04-21,15.01,44469,1,44.45,44561,3,55.31,44641,21-03-22,-7,56.5,44703,-35,0.561,9.132191,0.953161679,"2,200,000",2499702,"4,968,640",0.8801,1.9877,0.442777,29.828,571,16725908667,10.22,6691.16,3.825501483,79,1.897627091,2,3,5,0,2,2,3,0,1,1,3,NA
Brazil,South America,Americas,AMR,BRA,44215,19-01-21,43.02,44395,0,72.6,44485,0,77.5,44575,14-01-22,0,84.48,44665,0,0.525,-7.72495,0.676815241,0,211782878,"20,669,720",0,0.0976,0,13.176,140,1.87329E+12,12.27,8845.32,3.946713753,613,2.787460475,2,3,5,0,2,3,5,0,2,2,5,0
